#CNN,Input_shape,Power,Memory,Latency,Input_width,Input_size,nb_conv_params,nb_bn_params,nb_fc_params,FLOPs,nb_layers,nb_conv_layers,nb_bn_layers,nb_fc_layers,sum_activations,weighted_sum_neurons
ShuffleNet1.5-v1,"(896, 896, 3)",8983,2495,61.73897678,896,2408448,8422380,90576,865000,38940074270,169,49,48,1,310730288,103493078784
ShuffleNet1.5-v1,"(1024, 1024, 3)",10349,2563,77.81319276,1024,3145728,8422380,90576,865000,50854254110,169,49,48,1,405850928,135174369024
ShuffleNet1.5-v1,"(1200, 1200, 3)",12317,2675,107.32104131,1200,4320000,8422380,90576,865000,70199003510,169,49,48,1,558508232,186831083520
ShuffleNet1.5-v1,"(1600, 1600, 3)",15345,2993,190.10686164,1600,7680000,8422380,90576,865000,124126460126,169,49,48,1,990842864,330014304000
ShuffleNet1.5-v1,"(1792, 1792, 3)",16105,3125,242.63978095,1792,9633792,8422380,90576,865000,155699036702,169,49,48,1,1242912560,413969723136
ShuffleNet2.0-v1,"(32, 32, 3)",2136,2776,7.29150169,32,3072,14941584,120768,1153000,122403602,169,49,48,1,530576,235717632
ShuffleNet2.0-v1,"(56, 56, 3)",2212.5,2777,7.29563627,56,9408,14941584,120768,1153000,361052066,169,49,48,1,1837088,882494208
ShuffleNet2.0-v1,"(64, 64, 3)",2136,2778,7.47898655,64,12288,14941584,120768,1153000,385669586,169,49,48,1,2112848,939414528
ShuffleNet2.0-v1,"(75, 75, 3)",2136,2781,7.57670143,75,16875,14941584,120768,1153000,629315426,169,49,48,1,3355403,1621551168
ShuffleNet2.0-v1,"(112, 112, 3)",2442,2781,8.04957619,112,37632,14941584,120768,1153000,1174690802,169,49,48,1,6617456,3086088192
ShuffleNet2.0-v1,"(128, 128, 3)",2442,2788,8.37964793,128,49152,14941584,120768,1153000,1438733522,169,49,48,1,8441936,3754202112
ShuffleNet2.0-v1,"(150, 150, 3)",2594,2975,9.66145027,150,67500,14941584,120768,1153000,2164134530,169,49,48,1,12462716,5717104272
ShuffleNet2.0-v1,"(224, 224, 3)",3356,2983,12.95844218,224,150528,14941584,120768,1153000,4334659346,169,49,48,1,25846928,11494867968
ShuffleNet2.0-v1,"(240, 240, 3)",3127.5,2991.5,13.41129709,240,172800,14941584,120768,1153000,5105300978,169,49,48,1,29987696,13632583680
ShuffleNet2.0-v1,"(256, 256, 3)",3356,2983,13.53686946,256,196608,14941584,120768,1153000,5650989266,169,49,48,1,33758288,15013352448
ShuffleNet2.0-v1,"(299, 299, 3)",3661,2995,16.78585542,299,268203,14941584,120768,1153000,8117864354,169,49,48,1,47782667,21717748800
ShuffleNet2.0-v1,"(320, 320, 3)",3814,3000,19.11701304,320,307200,14941584,120768,1153000,8810181074,169,49,48,1,52745552,23457715200
ShuffleNet2.0-v1,"(331, 331, 3)",3966,3003,19.33594479,331,328683,14941584,120768,1153000,9889699682,169,49,48,1,58348811,26465159232
ShuffleNet2.0-v1,"(448, 448, 3)",5488,3030,29.97741226,448,602112,14941584,120768,1153000,17234692562,169,49,48,1,103378256,45976015872
ShuffleNet2.0-v1,"(480, 480, 3)",5793,3032,33.312465,480,691200,14941584,120768,1153000,19779597074,169,49,48,1,118673552,52778419200
ShuffleNet2.0-v1,"(568, 568, 3)",7162,2849,44.10766902,568,967872,14941584,120768,1153000,28232687522,169,49,48,1,168259616,75457776384
ShuffleNet2.0-v1,"(600, 600, 3)",7619,2864,47.09447065,600,1080000,14941584,120768,1153000,31466505314,169,49,48,1,187627232,84106347264
ShuffleNet2.0-v1,"(800, 800, 3)",10349,2935,75.70300305,800,1920000,14941584,120768,1153000,54881728274,169,49,48,1,329643152,146604672000
ShuffleNet2.0-v1,"(896, 896, 3)",11561,2978,94.00563893,896,2408448,14941584,120768,1153000,68834825426,169,49,48,1,413503568,183900607488
ShuffleNet2.0-v1,"(1024, 1024, 3)",13229,3045,118.10318993,1024,3145728,14941584,120768,1153000,89896104146,169,49,48,1,540085328,240196359168
ShuffleNet2.0-v1,"(1200, 1200, 3)",15041,3150.5,162.56141125,1200,4320000,14941584,120768,1153000,124095311858,169,49,48,1,743236976,331988244480
ShuffleNet2.0-v1,"(1600, 1600, 3)",18216,3434,288.22622494,1600,7680000,14941584,120768,1153000,219422968274,169,49,48,1,1318563152,586415232000
ShuffleNet2.0-v1,"(1792, 1792, 3)",18744,3603,366.84836175,1792,9633792,14941584,120768,1153000,275235356882,169,49,48,1,1654004816,735598973952
ShuffleNet0.5-v2,"(32, 32, 3)",1527,2101,1.26600963,32,3072,1243654,28120,1025000,12241003,208,56,54,1,145904,12556608
ShuffleNet0.5-v2,"(64, 64, 3)",1374,2110,1.45373468,56,9408,1243654,28120,1025000,27680227,208,56,54,1,505064,44558892
ShuffleNet0.5-v2,"(75, 75, 3)",1450.5,2112,1.46861861,64,12288,1243654,28120,1025000,29138467,208,56,54,1,574544,47154432
ShuffleNet0.5-v2,"(112, 112, 3)",1450.5,2108.5,1.48341044,75,16875,1243654,28120,1025000,46699749,208,56,54,1,923117,82176584
ShuffleNet0.5-v2,"(128, 128, 3)",1527,2114,1.55961243,112,37632,1243654,28120,1025000,82492903,208,56,54,1,1805864,154777728
ShuffleNet0.5-v2,"(150, 150, 3)",1603,2112.5,1.81206236,128,49152,1243654,28120,1025000,96728323,208,56,54,1,2289104,185545728
ShuffleNet0.5-v2,"(224, 224, 3)",1527,2124,2.42271847,150,67500,1243654,28120,1025000,143531443,208,56,54,1,3390752,282541872
ShuffleNet0.5-v2,"(240, 240, 3)",1603,2123,2.51988157,224,150528,1243654,28120,1025000,282600427,208,56,54,1,7004144,566121792
ShuffleNet0.5-v2,"(256, 256, 3)",1679,2130.5,2.75077055,240,172800,1243654,28120,1025000,337667879,208,56,54,1,8148648,675523712
ShuffleNet0.5-v2,"(299, 299, 3)",1755.5,1912,3.23066917,256,196608,1243654,28120,1025000,367087747,208,56,54,1,9147344,739110912
ShuffleNet0.5-v2,"(320, 320, 3)",1832,1916,3.56348635,299,268203,1243654,28120,1025000,532218573,208,56,54,1,12990221,1073987208
ShuffleNet0.5-v2,"(331, 331, 3)",1832,1920,3.66968494,320,307200,1243654,28120,1025000,569857315,208,56,54,1,14291024,1154284800
ShuffleNet0.5-v2,"(448, 448, 3)",2136,1950,5.54284664,331,328683,1243654,28120,1025000,646638309,208,56,54,1,15857133,1307935304
ShuffleNet0.5-v2,"(480, 480, 3)",2136,1971,6.20429829,448,602112,1243654,28120,1025000,1110576163,208,56,54,1,28007504,2261415168
